# Temp = -10	1.0e+14	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

2.51e+08	3.51e+06	5.28e+05	0.151
3.98e+08	3.65e+06	6.44e+05	0.176
6.31e+08	3.80e+06	7.99e+05	0.21
1.00e+09	3.97e+06	9.96e+05	0.251


# Temp = 70	1.0e+06	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+06	2.98e+06	1.46e+05	0.0488
1.58e+06	3.01e+06	1.36e+05	0.0452
2.51e+06	3.04e+06	1.42e+05	0.0468
3.98e+06	3.08e+06	1.55e+05	0.0504
6.31e+06	3.12e+06	1.77e+05	0.0569
1.00e+07	3.17e+06	2.08e+05	0.0658
1.58e+07	3.22e+06	2.47e+05	0.0768
2.51e+07	3.29e+06	2.95e+05	0.0898
3.98e+07	3.37e+06	3.54e+05	0.105
6.31e+07	3.45e+06	4.30e+05	0.125
1.00e+08	3.54e+06	5.09e+05	0.144


# Temp = 80	1.0e+05	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+05	3.01e+06	1.54e+05	0.051
1.58e+05	3.05e+06	1.37e+05	0.0448
2.51e+05	3.08e+06	1.23e+05	0.04
3.98e+05	3.11e+06	1.19e+05	0.0383
6.31e+05	3.13e+06	1.24e+05	0.0396
1.00e+06	3.16e+06	1.35e+05	0.0426
1.58e+06	3.19e+06	1.55e+05	0.0484
2.51e+06	3.23e+06	1.81e+05	0.056
3.98e+06	3.29e+06	2.16e+05	0.0656
6.31e+06	3.33e+06	2.61e+05	0.0784
1.00e+07	3.38e+06	3.15e+05	0.0931


# Temp = 90	1.0e+04	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+04	3.04e+06	1.95e+05	0.0641
1.58e+04	3.09e+06	1.59e+05	0.0516
2.51e+04	3.12e+06	1.37e+05	0.0439
3.98e+04	3.16e+06	1.18e+05	0.0374
6.31e+04	3.18e+06	1.10e+05	0.0346
1.00e+05	3.20e+06	1.07e+05	0.0333
1.58e+05	3.23e+06	1.12e+05	0.0347
2.51e+05	3.25e+06	1.24e+05	0.0382
3.98e+05	3.29e+06	1.43e+05	0.0435
6.31e+05	3.31e+06	1.70e+05	0.0514
1.00e+06	3.34e+06	2.05e+05	0.0613


# Temp = 100	1.0e+03	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+03	3.03e+06	2.37e+05	0.0783
1.58e+03	3.10e+06	2.06e+05	0.0663
2.51e+03	3.16e+06	1.75e+05	0.0553
3.98e+03	3.20e+06	1.44e+05	0.0449
6.31e+03	3.23e+06	1.24e+05	0.0383
1.00e+04	3.26e+06	1.08e+05	0.033
1.58e+04	3.28e+06	1.00e+05	0.0305
2.51e+04	3.30e+06	1.00e+05	0.0303
3.98e+04	3.33e+06	1.07e+05	0.0322
6.31e+04	3.34e+06	1.21e+05	0.0363
1.00e+05	3.35e+06	1.42e+05	0.0425


# Temp = 110	1.0e+02	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+02	3.00e+06	2.69e+05	0.0897
1.58e+02	3.09e+06	2.49e+05	0.0805
2.51e+02	3.18e+06	2.21e+05	0.0695
3.98e+02	3.23e+06	1.85e+05	0.0573
6.31e+02	3.28e+06	1.51e+05	0.0462
1.00e+03	3.31e+06	1.29e+05	0.0389
1.58e+03	3.34e+06	1.10e+05	0.0331
2.51e+03	3.36e+06	1.00e+05	0.0297
3.98e+03	3.39e+06	9.67e+04	0.0285
6.31e+03	3.40e+06	1.00e+05	0.0296
1.00e+04	3.40e+06	1.11e+05	0.0327


# Temp = 120	1.0e+01	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+01	2.97e+06	2.80e+05	0.0943
1.58e+01	3.07e+06	2.73e+05	0.0889
2.51e+01	3.16e+06	2.60e+05	0.0822
3.98e+01	3.25e+06	2.31e+05	0.0712
6.31e+01	3.31e+06	1.93e+05	0.0583
1.00e+02	3.36e+06	1.63e+05	0.0485
1.58e+02	3.40e+06	1.35e+05	0.0398
2.51e+02	3.43e+06	1.16e+05	0.0339
3.98e+02	3.46e+06	1.04e+05	0.0302
6.31e+02	3.46e+06	9.83e+04	0.0284
1.00e+03	3.46e+06	9.94e+04	0.0287


# Temp = 130	1.0e+00	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+00	2.91e+06	2.79e+05	0.0957
1.58e+00	3.03e+06	2.96e+05	0.0978
2.51e+00	3.13e+06	3.00e+05	0.096
3.98e+00	3.24e+06	2.80e+05	0.0865
6.31e+00	3.32e+06	2.51e+05	0.0755
1.00e+01	3.40e+06	2.15e+05	0.0634
1.58e+01	3.45e+06	1.81e+05	0.0524
2.51e+01	3.49e+06	1.52e+05	0.0436
3.98e+01	3.53e+06	1.32e+05	0.0373
6.31e+01	3.55e+06	1.17e+05	0.0329
1.00e+02	3.55e+06	1.11e+05	0.0311


# Temp = 140	1.0e-01	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e-01	2.43e+06	3.48e+05	0.144
1.58e-01	2.53e+06	3.82e+05	0.151
2.51e-01	2.68e+06	4.17e+05	0.156
3.98e-01	2.82e+06	4.33e+05	0.153
6.31e-01	2.97e+06	4.17e+05	0.141
1.00e+00	3.09e+06	3.87e+05	0.125
1.58e+00	3.21e+06	3.47e+05	0.108
2.51e+00	3.31e+06	3.05e+05	0.0921
3.98e+00	3.39e+06	2.66e+05	0.0783
6.31e+00	3.45e+06	2.30e+05	0.0668
1.00e+01	3.48e+06	2.05e+05	0.0587


# Temp = 150	1.0e-02	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e-02	2.01e+06	2.19e+05	0.109
1.58e-02	2.06e+06	2.68e+05	0.13
2.51e-02	2.14e+06	3.10e+05	0.145
3.98e-02	2.25e+06	3.61e+05	0.16
6.31e-02	2.38e+06	3.92e+05	0.165
1.00e-01	2.52e+06	4.09e+05	0.162
1.58e-01	2.65e+06	4.09e+05	0.154
2.51e-01	2.78e+06	3.96e+05	0.142
3.98e-01	2.91e+06	3.77e+05	0.13
6.31e-01	3.00e+06	3.57e+05	0.119
1.00e+00	3.08e+06	3.41e+05	0.111


# Temp = 160	1.0e-03	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e-03	1.90e+06	1.11e+05	0.0586
1.58e-03	1.92e+06	1.40e+05	0.0726
2.51e-03	1.96e+06	1.75e+05	0.0893
3.98e-03	2.01e+06	2.14e+05	0.106
6.31e-03	2.08e+06	2.60e+05	0.125
1.00e-02	2.17e+06	3.00e+05	0.138
1.58e-02	2.27e+06	3.32e+05	0.146
2.51e-02	2.38e+06	3.50e+05	0.147
3.98e-02	2.51e+06	3.58e+05	0.143
6.31e-02	2.60e+06	3.57e+05	0.137
1.00e-01	2.69e+06	3.51e+05	0.13


